# Synthetic/composite Extraterrestrial Spectrum, April 2018
# Reference: C. Gueymard, "Revised composite extraterrestrial spectrum based on recent solar irradiance observations",
#    Solar Energy, 2018.	
# Data starts at row 13
# 1st column: Wavelength (nm)
# 2nd column: Mean irradiance (W m-2 nm) at normal incidence and mean sun-earth distance (1 ua)	
# 3rd column: Standard deviation (W m-2 nm-1); missing = -999
# 4th column: Coefficient of variation (%); missing = -999	
# Number of wavelengths/data rows: 2540
# Resolution: variable, approximately equal to spectral step
# Total irradiance (solar constant) = 1361.1 W/m2	
# Wavelength	Irradiance	Standard_deviation	Coefficient_of_variation	
131.5	2.9640E-05	-999	-999	
132.5	2.2700E-05	-999	-999	
133.5	2.1630E-04	-999	-999	
134.5	2.0230E-05	-999	-999	
135.5	4.6160E-05	-999	-999	
136.5	2.9970E-05	-999	-999	
137.5	3.1880E-05	-999	-999	
138.5	3.1580E-05	-999	-999	
139.5	9.2670E-05	-999	-999	
140.5	7.6940E-05	-999	-999	
141.5	4.5320E-05	-999	-999	
142.5	4.8970E-05	-999	-999	
143.5	5.7080E-05	-999	-999	
144.5	5.5540E-05	-999	-999	
145.5	5.9720E-05	-999	-999	
146.5	7.4240E-05	-999	-999	
147.5	9.2170E-05	-999	-999	
148.5	9.3960E-05	-999	-999	
149.5	8.4730E-05	-999	-999	
150.5	9.4440E-05	-999	-999	
151.5	1.0210E-04	-999	-999	
152.5	1.2860E-04	-999	-999	
153.5	1.4290E-04	-999	-999	
154.5	2.5430E-04	-999	-999	
155.5	2.1010E-04	-999	-999	
156.5	2.1130E-04	-999	-999	
157.5	1.9100E-04	-999	-999	
158.5	1.8370E-04	-999	-999	
159.5	1.8360E-04	-999	-999	
160.5	2.0640E-04	-999	-999	
161.5	2.4190E-04	-999	-999	
162.5	2.7780E-04	-999	-999	
163.5	3.0470E-04	-999	-999	
164.5	3.3910E-04	-999	-999	
165.5	5.2950E-04	-999	-999	
166.5	3.6950E-04	-999	-999	
167.5	4.3620E-04	-999	-999	
168.5	4.8520E-04	-999	-999	
169.5	6.3570E-04	-999	-999	
170.5	7.3520E-04	-999	-999	
171.5	7.3770E-04	-999	-999	
172.5	7.9630E-04	-999	-999	
173.5	7.9930E-04	-999	-999	
174.5	9.8160E-04	-999	-999	
175.5	1.2090E-03	-999	-999	
176.5	1.3100E-03	-999	-999	
177.5	1.5800E-03	-999	-999	
178.5	1.7620E-03	-999	-999	
179.5	1.7230E-03	-999	-999	
180.5	2.0610E-03	-999	-999	
181.5	2.4810E-03	-999	-999	
182.5	2.3120E-03	-999	-999	
183.5	2.4710E-03	-999	-999	
184.5	2.1140E-03	-999	-999	
185.5	2.4170E-03	-999	-999	
186.5	2.7690E-03	-999	-999	
187.5	3.2110E-03	-999	-999	
188.5	3.4020E-03	-999	-999	
189.5	3.8340E-03	-999	-999	
190.5	3.9690E-03	-999	-999	
191.5	4.3600E-03	-999	-999	
192.5	4.6640E-03	-999	-999	
193.5	3.5320E-03	-999	-999	
194.5	5.9010E-03	-999	-999	
195.5	5.7540E-03	-999	-999	
196.5	6.5120E-03	-999	-999	
197.5	6.6030E-03	-999	-999	
198.5	6.6580E-03	-999	-999	
199.5	7.2310E-03	-999	-999	
200	7.1060E-03	0.00033	4.6
200.5	7.3513E-03	0.00014	1.9
201	8.0707E-03	0.00029	3.5
201.5	8.4543E-03	0.00025	2.9
202	8.7708E-03	0.00008	1.0
202.5	8.4478E-03	0.00044	5.3
203	9.1859E-03	0.00028	3.0
203.5	9.4323E-03	0.00029	3.1
204	9.9191E-03	0.00032	3.2
204.5	1.0773E-02	0.00029	2.7
205	1.0933E-02	0.00035	3.2
205.5	1.0997E-02	0.00035	3.2
206	1.1061E-02	0.00035	3.1
206.5	1.1392E-02	0.00049	4.3
207	1.2514E-02	0.00040	3.2
207.5	1.3126E-02	0.00050	3.8
208	1.3752E-02	0.00076	5.5
208.5	1.5355E-02	0.00068	4.4
209	1.8678E-02	0.00042	2.2
209.5	2.1917E-02	0.00061	2.8
210	2.5668E-02	0.00096	3.7
210.5	2.8847E-02	0.00086	3.0
211	3.1209E-02	0.00135	4.3
211.5	3.4483E-02	0.00101	2.9
