,Wavelength,Flux
0,6500.0,175.12396451135274
1,6500.01,175.13171721052788
2,6500.02,175.13902314714602
3,6500.030000000001,175.14589643896477
4,6500.040000000001,175.15237697125693
5,6500.050000000001,175.15849243972815
6,6500.060000000001,175.16427835339746
7,6500.0700000000015,175.16971487449592
8,6500.080000000002,175.17482786446982
9,6500.090000000002,175.1796239726235
10,6500.100000000002,175.18410785554326
11,6500.110000000002,175.1882826085169
12,6500.120000000003,175.19215011577182
13,6500.130000000003,175.19571119551125
14,6500.140000000003,175.1989657850687
15,6500.150000000003,175.2019130320061
16,6500.1600000000035,175.20455137035242
17,6500.170000000004,175.2068785661175
18,6500.180000000004,175.20889179985602
19,6500.190000000004,175.210587628408
20,6500.200000000004,175.21198809371637
21,6500.210000000005,175.21303651834646
22,6500.220000000005,175.21375387343718
23,6500.230000000005,175.21413451427773
24,6500.240000000005,175.2141722327328
25,6500.2500000000055,175.21386032700505
26,6500.260000000006,175.21319156864044
27,6500.270000000006,175.21215828943082
28,6500.280000000006,175.21075270460895
29,6500.290000000006,175.20896612926353
30,6500.300000000007,175.20679059993853
31,6500.310000000007,175.20421828702172
32,6500.320000000007,175.20124223263159
33,6500.330000000007,175.19785678611834
34,6500.340000000007,175.19405816626792
35,6500.350000000008,175.18984487426076
36,6500.360000000008,175.18521568002438
37,6500.370000000008,175.18017678133546
38,6500.380000000008,175.17472709958002
39,6500.3900000000085,175.16886213201067
40,6500.400000000009,175.16256825976197
41,6500.410000000009,175.15582240396012
42,6500.420000000009,175.1485952629276
43,6500.430000000009,175.1408555727081
44,6500.44000000001,175.1325728198581
45,6500.45000000001,175.12371833814186
46,6500.46000000001,175.11426516356264
47,6500.47000000001,175.1041876772418
48,6500.4800000000105,175.0934606564595
49,6500.490000000011,175.08205909408383
50,6500.500000000011,175.0699570735591
51,6500.510000000011,175.05712766231403
52,6500.520000000011,175.04354213189347
53,6500.530000000012,175.02916976918291
54,6500.540000000012,175.01397749342308
55,6500.550000000012,174.99792943087354
56,6500.560000000012,174.98098662112787
57,6500.570000000012,174.96310652674495
58,6500.580000000013,174.94424251557052
59,6500.590000000013,174.92434320567864
60,6500.600000000013,174.90335164374676
61,6500.610000000013,174.88120429541272
62,6500.6200000000135,174.85782937809924
63,6500.630000000014,174.83314537634098
64,6500.640000000014,174.80705820650894
65,6500.650000000014,174.77945766211838
66,6500.660000000014,174.7502121845639
67,6500.670000000015,174.71916158536936
68,6500.680000000015,174.68610544514758
69,6500.690000000015,174.65078399943894
70,6500.700000000015,174.61284766317314
71,6500.7100000000155,174.5718064643872
72,6500.720000000016,174.52695662268985
73,6500.730000000016,174.47736594312855
74,6500.740000000016,174.42223904850917
75,6500.750000000016,174.36203710561415
76,6500.760000000017,174.3006773452463
77,6500.770000000017,174.2444977714891
78,6500.780000000017,174.1985587655731
79,6500.790000000017,174.16192120522942
80,6500.8000000000175,174.12840984530655
81,6500.810000000018,174.0917065253298
82,6500.820000000018,174.0487070854629
83,6500.830000000018,173.99904502210765
84,6500.840000000018,173.94334225061465
85,6500.850000000019,173.8821969398829
86,6500.860000000019,173.81595260853996
87,6500.870000000019,173.7447428182117
88,6500.880000000019,173.66855842352578
89,6500.890000000019,173.5872907275916
90,6500.90000000002,173.5007558162056
91,6500.91000000002,173.4087088888886
92,6500.92000000002,173.3108513009314
93,6500.93000000002,173.20683370955726
94,6500.9400000000205,173.09625689652694
95,6500.950000000021,172.97867056720057
96,6500.960000000021,172.8535069080151
97,6500.970000000021,172.72027769431648
98,6500.980000000021,172.57832747551788
99,6500.990000000022,172.42700583380068
100,6501.000000000022,172.2655403534289
101,6501.010000000022,172.09304291813206
102,6501.020000000022,171.9085830667239
103,6501.0300000000225,171.7110889753599
104,6501.040000000023,171.499378308674
105,6501.050000000023,171.27212414841316
106,6501.060000000023,171.02785839756234
107,6501.070000000023,170.76491559309832
108,6501.080000000024,170.48142877659458
109,6501.090000000024,170.17529274505998
110,6501.100000000024,169.8441278043694
111,6501.110000000024,169.48523683141195
112,6501.120000000024,169.0955531050478
113,6501.130000000025,168.6715802476849
114,6501.140000000025,168.2093191444065
115,6501.150000000025,167.70418068883083
116,6501.160000000025,167.1508815741156
117,6501.1700000000255,166.5433139939532
118,6501.180000000026,165.8743966831908
119,6501.190000000026,165.13588454908714
120,6501.200000000026,164.31814093894806
121,6501.210000000026,163.40985796442953
122,6501.220000000027,162.3977126791927
123,6501.230000000027,161.2659431465911
124,6501.240000000027,159.99582207116322
125,6501.250000000027,158.56500291199788
126,6501.2600000000275,156.94670070030784
127,6501.270000000028,155.10866700883355
128,6501.280000000028,153.01190728198017
129,6501.290000000028,150.6078291763668
130,6501.300000000028,147.84015911899243
131,6501.310000000029,144.6378680315325
132,6501.320000000029,140.91355276437105
133,6501.330000000029,136.55916823094262
134,6501.340000000029,131.43817514426937
135,6501.3500000000295,125.3733861382554
136,6501.36000000003,118.12864273920682
137,6501.37000000003,109.42143189584309
138,6501.38000000003,99.12028714284048
139,6501.39000000003,87.78454862095903
140,6501.400000000031,77.00812895745791
141,6501.410000000031,68.41253231720184
142,6501.420000000031,62.41129997030301
143,6501.430000000031,58.63225224582792
144,6501.440000000031,56.72975450448972
145,6501.450000000032,56.55704551770915
146,6501.460000000032,58.10283960341
147,6501.470000000032,61.48082012263459
148,6501.480000000032,66.99540283109644
149,6501.4900000000325,75.0579939756408
150,6501.500000000033,85.49405795727554
151,6501.510000000033,96.87266228402825
152,6501.520000000033,107.46648256971143
153,6501.530000000033,116.50319730464385
